Title,Intervention,Health condition
"ACE inhibitors and their influence on inflammation, bronchial reactivity and cough",ACE inhibitor,Asthma
"ACE inhibitors and their influence on inflammation, bronchial reactivity and cough",ACE inhibitor,Cough
A combinatorial therapy for pneumonia in elderly people,ACE inhibitor,Pneumonia
Effects of an angiotensin-converting enzyme inhibitor-based regimen on pneumonia risk,ACE inhibitor,Pneumonia
"Prospective randomised single-blind controlled trial of glacial acetic acid versus glacial acetic acid, neomycin sulphate and dexamethasone spray in otitis externa and infected mastoid cavities",Acetic acid,Otitis media
Clinical effectiveness of and tolerance to Cytiolone in the treatment of acute respiratory tract diseases. A controlled clinical study vs. N-acetil Cysteine,Acetylcysteine,ARI non-specific
The Bronchitis Randomized On NAC Cost-Utility Study (BRONCUS): hypothesis and design. BRONCUS-trial Committee,Acetylcysteine,Bronchiolitis
"Randomised, controlled trial of N-acetylcysteine for treatment of acute exacerbations of chronic obstructive pulmonary disease [ISRCTN21676344]",Acetylcysteine,COPD
Attenuation of influenza-like symptomatology and improvement of cell-mediated immunity with long-term N-acetylcysteine treatment,Acetylcysteine,Influenza
[Observation on the therapeutic effect of acupoint sticking therapy for prevention of acute attack of chronic bronchitis],Acupuncture,Bronchiolitis
[Observation on therapeutic effect of low energy He-Ne laser acupoint radiation on infantile cold],Acupuncture,Common cold
Preventive and curative effects of acupuncture on the common cold: a multicentre randomized controlled trial in Japan,Acupuncture,Common cold
Acupuncture in hyperreflectory rhinitis - first results of a placebo-controlled study,Acupuncture,Common cold
[Application of adrenal cortical hormone in treatment of tubercular meningitis],Adrenal cortical hormone,Meningitis
Wheezing in infants: the response to epinephrine,Adrenaline,Asthma
Randomized controlled trial of nebulized adrenaline in acute bronchiolitis,Adrenaline,Bronchiolitis
Randomised double blind placebo controlled trial of nebulised adrenaline in acute bronchiolitis,Adrenaline,Bronchiolitis
A multi-centre randomised controlled double-blind trial of nebulised adrenaline in infants with bronchiolitis,Adrenaline,Bronchiolitis
Efficacy of nebulised epinephrine versus salbutamol in hospitalised children with bronchiolitis,Adrenaline,Bronchiolitis
Pharmacologic treatment of bronchiolitis in infants and children: a systematic review,Adrenaline,Bronchiolitis
Nebulised racemic adrenaline in the treatment of acute bronchiolitis in infants and toddlers,Adrenaline,Bronchiolitis
Additive effects of dexamethasone in nebulized salbutamol or L-epinephrine treated infants with acute bronchiolitis,Adrenaline,Bronchiolitis
Racemic epinephrine compared to salbutamol in hospitalized young children with bronchiolitis; a randomized controlled clinical trial [ISRCTN46561076],Adrenaline,Bronchiolitis
A randomized trial comparing the efficacy of epinephrine with salbutamol in the treatment of acute bronchiolitis. [see comments.],Adrenaline,Bronchiolitis
A randomized trial of nebulized epinephrine vs albuterol in the emergency department treatment of bronchiolitis,Adrenaline,Bronchiolitis
Epinephrine and dexamethasone in children with bronchiolitis.[see comment],Adrenaline,Bronchiolitis
Racemic adrenaline and other treatment regimens in mild and moderate bronchiolitis:,Adrenaline,Bronchiolitis
Hypertonic saline/epinephrine treatment in hospitalized infants with viral bronchiolitis reduces hospitalization stay: 2 years experience,Adrenaline,Bronchiolitis
"A multicenter, randomized, double-blind, controlled trial of nebulized epinephrine in infants with acute bronchiolitis.[comment]",Adrenaline,Bronchiolitis
Comparison of nebulized epinephrine to albuterol in bronchiolitis.[see comment],Adrenaline,Bronchiolitis
"High volume normal saline alone is as effective as nebulized salbutamol-normal saline, epinephrine-normal saline, and 3% saline in mild bronchiolitis",Adrenaline,Bronchiolitis
Nebulized budesonide is as effective as nebulized adrenaline in moderately severe croup,Adrenaline,Croup
Inhalation of racemic adrenaline in the treatment of mild and moderately severe croup. Clinical symptom score and oxygen saturation measurements for evaluation of treatment effects,Adrenaline,Croup
"A randomized double-blind, placebo-controlled trial of dexamethasone and racemic epinephrine in the treatment of croup",Adrenaline,Croup
[Randomized double-blind study of treatment of croup with adrenaline and/or dexamethasone in children]. [Spanish],Adrenaline,Croup
[Evaluation of racemic epinephrine with intermittent positive pressure in the treatment of acute infections laryngotracheitis]. [Spanish],Adrenaline,Croup
Treatment of laryngotracheobronchitis (croup). Use of intermittent positive-pressure breathing and racemic epinephrine,Adrenaline,Croup
Prospective randomized double-blind study comparing L-epinephrine and racemic epinephrine aerosols in the treatment of laryngotracheitis (croup),Adrenaline,Croup
A randomized comparison of helium-oxygen mixture (Heliox) and racemic epinephrine for the treatment of moderate to severe croup,Adrenaline,Croup
Nebulized racemic epinephrine by IPPB for the treatment of croup: a double-blind study,Adrenaline,Croup
Prospective Randomized Study Comparing L-epinephrine and Budesonide Aerosols in the Treatment of Moderate to Severe Croup,Adrenaline,Croup
A comparison of the acute effects of a low dose of alcohol on mood and performance of healthy volunteers and subjects with upper respiratory tract illnesses,Alcohol,ARI non-specific
Upper airway reactivity and upper respiratory tract infection: effect of nebulized lignocaine,Anaesthetic,ARI non-specific
Efficacy of Auralgan for treating ear pain in children with acute otitis media. [see comments.],Anaesthetic,Otitis media
Topical lignocaine for pain relief in acute otitis media: results of a double-blind placebo-controlled randomised trial,Anaesthetic,Otitis media
Local anaesthetic properties of ambroxol hydrochloride lozenges in view of sore throat. Clinical proof of concept,Anaesthetic,Pharyngitis / sore throat
Lidocaine 8 mg sore throat lozenges in the treatment of acute pharyngitis. A new therapeutic option investigated in comparison to placebo treatment,Anaesthetic,Pharyngitis / sore throat
Double-blind comparison of two types of benzocaine lozenges for the treatment of acute pharyngitis,Anaesthetic,Pharyngitis / sore throat
Echinacea/sage or chlorhexidine/lidocaine for treating acute sore throats: a randomized double-blind trial,Anaesthetic,Pharyngitis / sore throat
Extracorporeal membrane oxygenation in severe acute respiratory failure. A randomized prospective study,Anaesthetic,Respiratory failure
EMLA cream and nitrous oxide to alleviate pain induced by palivizumab (Synagis) intramuscular injections in infants and young children,Anaesthetic,RSV
Lidocaine-prilocaine patch decreases the pain associated with the subcutaneous administration of measles-mumps-rubella vaccine but does not adversely affect the antibody response,Anaesthetic,Vaccination adverse effects
[The EMLA cream versus placebo in MMR vaccination of older children in general practice]. [Danish],Anaesthetic,Vaccination adverse effects
EMLA cream and oral glucose for immunization pain in 3-month-old infants,Anaesthetic,Vaccination adverse effects
