Title,Intervention,Health condition
Antibiotic prophylaxis to reduce respiratory tract infections and mortality in adults receiving intensive care,Antibiotic vs placebo,ARI non-specific
Antibiotics for preventing suppurative complications from undifferentiated acute respiratory infections in children under five years of age,Antibiotic vs placebo,ARI non-specific
Delayed antibiotics for respiratory infections,Antibiotic vs placebo,ARI non-specific
Acetylcysteine and carbocysteine for acute upper and lower respiratory tract infections in paediatric patients without chronic broncho-pulmonary disease,Antitussive,ARI non-specific
Homeopathic remedies for preventing and treating acute respiratory tract infections in children,CAM,ARI non-specific
Pelargonium sidoides extract for treating acute respiratory tract infections,CAM,ARI non-specific
Rapid viral diagnosis for acute febrile respiratory illness in children in the Emergency Department,Diagnostic test,ARI non-specific
Biomarkers as point-of-care tests to guide prescription of antibiotics in patients with acute respiratory infections in primary care,Diagnostic test,ARI non-specific
Shared decision making for acute respiratory infections in primary care,Education,ARI non-specific
Advising patients to increase fluid intake for treating acute respiratory infections,Fluid therapy,ARI non-specific
Immunostimulants for preventing respiratory tract infection in children,Immunotherapy,ARI non-specific
Physical interventions to interrupt or reduce the spread of respiratory viruses,Infection control,ARI non-specific
Saline nasal irrigation for acute upper respiratory tract infections,Nasal Irrigation,ARI non-specific
Exercise for acute respiratory infections,Physiotherapy,ARI non-specific
Probiotics for preventing acute upper respiratory tract infections,Probiotic,ARI non-specific
Procalcitonin to initiate or discontinue antibiotics in acute respiratory tract infections,Procalcitonin,ARI non-specific
"Remediating buildings damaged by dampness and mould for preventing or reducing respiratory tract symptoms, infections and asthma",Public health,ARI non-specific
Epinephrine for bronchiolitis,Adrenaline,Bronchiolitis
Antibiotics for bronchiolitis in children,Antibiotic vs placebo,Bronchiolitis
Macrolides for diffuse panbronchiolitis,Antibiotic vs placebo,Bronchiolitis
Bronchodilators for bronchiolitis,Bronchodilator,Bronchiolitis
Continuous positive airway pressure (CPAP) for acute bronchiolitis in children,CPAP,Bronchiolitis
Glucocorticoids for acute viral bronchiolitis in infants and young children,Corticosteroid,Bronchiolitis
Nebulised deoxyribonuclease for viral bronchiolitis in children younger than 24 months,Deoxyribonuclease,Bronchiolitis
Heliox inhalation therapy for bronchiolitis in infants,Heliox,Bronchiolitis
Nebulised hypertonic saline solution for acute bronchiolitis in infants,Humidification,Bronchiolitis
Steam inhalation or humidified oxygen for acute bronchiolitis in children up to three years of age,Humidification,Bronchiolitis
Leukotriene inhibitors for bronchiolitis in infants and young children,Leukotriene,Bronchiolitis
High-flow nasal cannula therapy for infants with bronchiolitis,Oxygen therapy,Bronchiolitis
Chest physiotherapy for acute bronchiolitis in paediatric patients between 0 and 24 months old,Physiotherapy,Bronchiolitis
Surfactant therapy for bronchiolitis in critically ill infants,Surfactant,Bronchiolitis
Antibiotics for acute bronchitis,Antibiotic vs placebo,"Bronchitis, acute"
Azithromycin for acute lower respiratory tract infections,Antibiotic vs placebo,"Bronchitis, acute"
Acetylcysteine and carbocysteine for acute upper and lower respiratory tract infections in paediatric patients without chronic broncho-pulmonary disease,Antitussive,"Bronchitis, acute"
Beta2-agonists for acute bronchitis,Bronchodilator,"Bronchitis, acute"
Chinese medicinal herbs for acute bronchitis,CAM,"Bronchitis, acute"
Oxygen therapy for lower respiratory tract infections in children between 3 months and 15 years of age,Oxygen therapy,"Bronchitis, acute"
Chest radiographs for acute lower respiratory tract infections,Radiography,"Bronchitis, acute"
Haemophilus influenzae oral vaccination for preventing acute exacerbations of chronic bronchitis and chronic obstructive pulmonary disease,Vaccination,"Bronchitis, acute"
Vitamin A for preventing acute lower respiratory tract infections in children up to seven years of age,Vitamin A,"Bronchitis, acute"
Antibiotics for clinically diagnosed acute rhinosinusitis in adults,Antibiotic vs placebo,Common cold
Antibiotics for the common cold and acute purulent rhinitis,Antibiotic vs placebo,Common cold
Intranasal ipratropium bromide for the common cold,Anticholinergic,Common cold
