Title,Intervention,Health condition
Acetylcysteine and carbocysteine for acute upper and lower respiratory tract infections in paediatric patients without chronic broncho-pulmonary disease,Mucolytic,URTI
Acetylcysteine and carbocysteine for acute upper and lower respiratory tract infections in paediatric patients without chronic broncho-pulmonary disease,Mucolytic,LRTI
Advising patients to increase fluid intake for treating acute respiratory infections,Fluid therapy,ARI
Antibiotic prophylaxis to reduce respiratory tract infections and mortality in adults receiving intensive care,Antibiotic,ARI
Antibiotics for preventing suppurative complications from undifferentiated acute respiratory infections in children under five years of age,Antibiotic,ARI
Delayed antibiotics for respiratory infections,Antibiotic,ARI
Exercise for acute respiratory infections,Exercise,ARI
Homeopathic remedies for preventing and treating acute respiratory tract infections in children,CAM,ARI
Immunostimulants for preventing respiratory tract infection in children,Immunostimulant,ARI
Pelargonium sidoides extract for treating acute respiratory tract infections,CAM,ARI
Physical interventions to interrupt or reduce the spread of respiratory viruses,Infection control,ARI
Positioning for acute respiratory distress in hospitalised infants and children,Positioning,Respiratory distress
Procalcitonin to initiate or discontinue antibiotics in acute respiratory tract infections,Procalcitonin,ARI
'Remediating buildings damaged by dampness and mould for preventing or reducing respiratory tract symptoms, infections and asthma',Remediating buildings,ARI
Antibiotics for bronchiolitis in children,Antibiotic,Bronchiolitis
Bronchodilators for bronchiolitis,Bronchodilator,Bronchiolitis
Chest physiotherapy for acute bronchiolitis in paediatric patients between 0 and 24 months old,Physiotherapy,Bronchiolitis
Continuous positive airway pressure (CPAP) for acute bronchiolitis in children,CPAP,Bronchiolitis
Epinephrine for bronchiolitis,Adrenaline,Bronchiolitis
Glucocorticoids for acute viral bronchiolitis in infants and young children,Corticosteroids,Bronchiolitis
Heliox inhalation therapy for bronchiolitis in infants,Heliox,Bronchiolitis
High-flow nasal cannula therapy for infants with bronchiolitis,Oxygen therapy,Bronchiolitis
'
Leukotriene inhibitors for bronchiolitis in infants and young children',LTRA,Bronchiolitis
Macrolides for diffuse panbronchiolitis,Antibiotic,Bronchiolitis
Nebulised deoxyribonuclease for viral bronchiolitis in children younger than 24 months,Deoxyribonuclease,Bronchiolitis
Nebulised hypertonic saline solution for acute bronchiolitis in infants,Saline,Bronchiolitis
Steam inhalation or humidified oxygen for acute bronchiolitis in children up to three years of age,Steam therapy,Bronchiolitis
Surfactant therapy for bronchiolitis in critically ill infants,Surfactant,Bronchiolitis
Antibiotics for acute bronchitis,Antibiotic,Bronchitis
Beta2-agonists for acute bronchitis,Bronchodilator,Bronchitis
Chinese medicinal herbs for acute bronchitis,CAM,Bronchitis
Haemophilus influenzae oral vaccination for preventing acute exacerbations of chronic bronchitis and chronic obstructive pulmonary disease,Vaccination,Bronchitis
Antibiotics for community-acquired lower respiratory tract infections secondary to Mycoplasma pneumoniae in children,Antibiotic,CAP
