Title,Intervention,Health condition,,,,,,,,,,
"An evaluation of the efficacy of licorice gargle for attenuating postoperative sore throat: a prospective, randomized, single-blind study",Licorice gargle,Laryngitis,,,,,,,,,,
"Efficacy of inactivated split-virus influenza vaccine against culture-confirmed influenza in healthy adults: a prospective, randomized, placebo-controlled trial",Vaccination,Influenza,,,,,,,,,,
Effect of procalcitonin-based guidelines vs standard guidelines on antibiotic use in lower respiratory tract infections: the ProHOSP randomized controlled trial.[see comment],Antibiotics,LRTI,,,,,,,,,,
Effect of procalcitonin-based guidelines vs standard guidelines on antibiotic use in lower respiratory tract infections: the ProHOSP randomized controlled trial.[see comment],Procalcitonin,LRTI,,,,,,,,,,
Pharmacokinetics of levofloxacin in healthy Thai male volunteers,Antibiotic,ARI,,,,,,,,,,
[Live enteroviral vaccines for the emergency nonspecific prevention of mass respiratory diseases during fall-winter epidemics of influenza and acute respiratory diseases]. [Russian],Vaccination,ARI,,,,,,,,,,
Intranasal Capsicum spray in idiopathic rhinitis: a randomized prospective application regimen trial,Intranasal capsicum spray,Common cold,,,,,,,,,,
Effectiveness of adjunctive treatment with steroids in reducing short-term mortality in a high-risk population of children with bacterial meningitis,Corticosteroids,Meningitis,,,,,,,,,,
Parent-reported outcomes for treatment of acute otitis media with cefdinir or amoxicillin/clavulanate oral suspensions,Antibiotics,Otitis Media,,,,,,,,,,
Severe adverse events in the Italian and Stockholm I pertussis vaccine clinical trials,Vaccination,Pertussis,,,,,,,,,,
Oral immunisation with killed Haemophilus influenzae for protection against acute bronchitis in chronic obstructive lung disease,Vaccination,Bronchitis,,,,,,,,,,
The paradox of immunization against Haemophilus influenzae-related endobronchitis: protection restricted to ingestion of 'non-adjuvenated' vaccine,Vaccination,Influenza,,,,,,,,,,
Specific protection against acute bronchitis associated with nontypeable Haemophilus influenzae,Vaccination,Bronchitis,,,,,,,,,,
Single dose vaccination with AS03-adjuvanted H5N1 vaccines in a randomized trial induces strong and broad immune responsiveness to booster vaccination in adults,Vaccination,Influenza,,,,,,,,,,
Protection against recurrent acute bronchitis after oral immunization with killed Haemophilus influenzae,Vaccination,Bronchitis,,,,,,,,,,
Specific immune response in the respiratory tract after administration of an oral polyvalent bacterial vaccine,Vaccination,Staph aureus,,,,,,,,,,
Specific immune response in the respiratory tract after administration of an oral polyvalent bacterial vaccine,Vaccination, HIB,,,,,,,,,,
Aerosolized ceftazidime prophylaxis against ventilator-associated pneumonia in high-risk trauma patients: results of a double-blind randomized study,Antibiotics,VAP,,,,,,,,,,
Trial of a non-specific anti-catarrh vaccine [letter],Vaccine,Common cold,,,,,,,,,,
Respiratory syncytial virus infection in high risk infants and the potential impact of prophylaxis in a United Kingdom cohort. [see comments.],Prophylaxis,RSV,,,,,,,,,,
Public health in managed care: a randomized controlled trial of the effectiveness of postcard reminders,Vaccination reminder,Non-specific disease,,Further investigation was required,,,,,,,,
Treatment of streptococcal pharyngitis with once-daily compared with twice-daily amoxicillin: a noninferiority trial,Vaccination,Pharyngitis,,,,,,,,,,
L-Ascorbic acid and D-isoascorbic acid in a Common coldsurvey,Vitamin C,Common cold,,,,,,,,,,
Is an antihistamine-decongestant combination effective in temporarily relieving symptoms of the Common coldin preschool children? [see comments.],Decongestant,common cold,,,,,,,,,,
Is an antihistamine-decongestant combination effective in temporarily relieving symptoms of the Common coldin preschool children? [see comments.],Antihistamine,Common cold,,,,,,,,,,
